src,bytes,timestamp,target
10.0.69.106,39,2020-06-18T17:29:26Z,10.0.69.130
10.0.69.106,46,2020-06-18T17:29:32Z,10.0.69.130
10.0.69.106,68,2020-06-18T17:29:38Z,10.0.69.142
10.0.69.106,6,2020-06-18T17:29:44Z,10.0.69.150
10.0.69.106,62,2020-06-18T17:29:50Z,10.0.69.161
10.0.69.106,21,2020-06-18T17:29:56Z,10.0.69.83
10.0.69.106,35,2020-06-18T17:30:02Z,10.0.69.161
10.0.69.106,38,2020-06-18T17:30:08Z,10.0.69.61
10.0.69.106,58,2020-06-18T17:30:14Z,10.0.69.161
10.0.69.106,25,2020-06-18T17:30:20Z,10.0.69.44
10.0.69.106,59,2020-06-18T17:30:26Z,10.0.69.142
10.0.69.106,35,2020-06-18T17:30:32Z,10.0.69.83
10.0.69.106,29,2020-06-18T17:30:38Z,10.0.69.85
10.0.69.106,33,2020-06-18T17:30:44Z,10.0.69.83
10.0.69.106,32,2020-06-18T17:30:50Z,10.0.69.181
10.0.69.106,49,2020-06-18T17:30:56Z,10.0.69.44
10.0.69.106,47,2020-06-18T17:31:02Z,10.0.69.181
10.0.69.106,42,2020-06-18T17:31:08Z,10.0.69.85
10.0.69.106,39,2020-06-18T17:31:14Z,10.0.69.130
10.0.69.106,28,2020-06-18T17:31:20Z,10.0.69.196
10.0.69.106,58,2020-06-18T17:31:26Z,10.0.69.83
10.0.69.106,53,2020-06-18T17:31:32Z,10.0.69.196
10.0.69.106,31,2020-06-18T17:31:38Z,10.0.69.85
10.0.69.106,30,2020-06-18T17:31:44Z,10.0.69.161
10.0.69.106,22,2020-06-18T17:31:50Z,10.0.69.196
10.0.69.106,48,2020-06-18T17:31:56Z,10.0.69.83
10.0.69.106,41,2020-06-18T17:32:02Z,10.0.69.83
10.0.69.106,20,2020-06-18T17:32:08Z,10.0.69.85
10.0.69.106,51,2020-06-18T17:32:14Z,10.0.69.44
10.0.69.106,63,2020-06-18T17:32:20Z,10.0.69.44
10.0.69.106,46,2020-06-18T17:32:26Z,10.0.69.196
10.0.69.106,33,2020-06-18T17:32:32Z,10.0.69.44
10.0.69.106,20,2020-06-18T17:32:38Z,10.0.69.83
10.0.69.106,35,2020-06-18T17:32:44Z,10.0.69.44
10.0.69.106,30,2020-06-18T17:32:50Z,10.0.69.181
10.0.69.106,31,2020-06-18T17:32:56Z,10.0.69.44
10.0.69.106,45,2020-06-18T17:33:02Z,10.0.69.106
10.0.69.106,50,2020-06-18T17:33:08Z,10.0.69.130
10.0.69.106,23,2020-06-18T17:33:14Z,10.0.69.61
10.0.69.106,14,2020-06-18T17:33:20Z,10.0.69.85
10.0.69.106,55,2020-06-18T17:33:26Z,10.0.69.61
10.0.69.106,51,2020-06-18T17:33:32Z,10.0.69.106
