src,bytes,timestamp,target
10.0.69.89,51,2020-06-18T01:34:50Z,10.0.69.60
10.0.69.89,36,2020-06-18T01:35:00Z,10.0.69.60
10.0.69.89,30,2020-06-18T01:35:10Z,10.0.69.82
10.0.69.89,37,2020-06-18T01:35:20Z,10.0.69.111
10.0.69.89,45,2020-06-18T01:35:30Z,10.0.69.82
10.0.69.89,27,2020-06-18T01:35:40Z,10.0.69.135
10.0.69.89,31,2020-06-18T01:35:50Z,10.0.69.55
10.0.69.89,49,2020-06-18T01:36:00Z,10.0.69.111
10.0.69.89,68,2020-06-18T01:36:10Z,10.0.69.82
10.0.69.89,50,2020-06-18T01:36:20Z,10.0.69.82
10.0.69.89,62,2020-06-18T01:36:30Z,10.0.69.53
10.0.69.89,32,2020-06-18T01:36:40Z,10.0.69.82
10.0.69.89,30,2020-06-18T01:36:50Z,10.0.69.60
10.0.69.89,41,2020-06-18T01:37:00Z,10.0.69.60
10.0.69.89,24,2020-06-18T01:37:10Z,10.0.69.82
10.0.69.89,66,2020-06-18T01:37:20Z,10.0.69.55
10.0.69.89,42,2020-06-18T01:37:30Z,10.0.69.53
10.0.69.89,60,2020-06-18T01:37:40Z,10.0.69.55
10.0.69.89,65,2020-06-18T01:37:50Z,10.0.69.82
10.0.69.89,50,2020-06-18T01:38:00Z,10.0.69.53
10.0.69.89,36,2020-06-18T01:38:10Z,10.0.69.60
10.0.69.89,39,2020-06-18T01:38:20Z,10.0.69.82
10.0.69.89,54,2020-06-18T01:38:30Z,10.0.69.53
10.0.69.89,44,2020-06-18T01:38:40Z,10.0.69.111
10.0.69.89,52,2020-06-18T01:38:50Z,10.0.69.55
10.0.69.89,57,2020-06-18T01:39:00Z,10.0.69.111
10.0.69.89,33,2020-06-18T01:39:10Z,10.0.69.53
10.0.69.89,20,2020-06-18T01:39:20Z,10.0.69.111
10.0.69.89,55,2020-06-18T01:39:30Z,10.0.69.60
10.0.69.89,66,2020-06-18T01:39:40Z,10.0.69.111
10.0.69.89,27,2020-06-18T01:39:50Z,10.0.69.111
10.0.69.89,57,2020-06-18T01:40:00Z,10.0.69.53
10.0.69.89,63,2020-06-18T01:40:10Z,10.0.69.53
10.0.69.89,59,2020-06-18T01:40:20Z,10.0.69.60
10.0.69.89,48,2020-06-18T01:40:30Z,10.0.69.82
10.0.69.89,50,2020-06-18T01:40:40Z,10.0.69.82
10.0.69.89,47,2020-06-18T01:40:50Z,10.0.69.53
10.0.69.89,64,2020-06-18T01:41:00Z,10.0.69.82
10.0.69.89,44,2020-06-18T01:41:10Z,10.0.69.53
10.0.69.89,70,2020-06-18T01:41:20Z,10.0.69.55
10.0.69.89,45,2020-06-18T01:41:30Z,10.0.69.55
10.0.69.89,67,2020-06-18T01:41:40Z,10.0.69.82
10.0.69.89,62,2020-06-18T01:41:50Z,10.0.69.60
10.0.69.89,77,2020-06-18T01:42:00Z,10.0.69.60
10.0.69.89,52,2020-06-18T01:42:10Z,10.0.69.53
10.0.69.89,58,2020-06-18T01:42:20Z,10.0.69.60
10.0.69.89,57,2020-06-18T01:42:30Z,10.0.69.111
10.0.69.89,47,2020-06-18T01:42:40Z,10.0.69.53
10.0.69.89,45,2020-06-18T01:42:50Z,10.0.69.53
10.0.69.89,52,2020-06-18T01:43:00Z,10.0.69.53
10.0.69.89,47,2020-06-18T01:43:10Z,10.0.69.55
10.0.69.89,34,2020-06-18T01:43:20Z,10.0.69.111
10.0.69.89,52,2020-06-18T01:43:30Z,10.0.69.111
10.0.69.89,59,2020-06-18T01:43:40Z,10.0.69.111
10.0.69.89,35,2020-06-18T01:43:50Z,10.0.69.111
10.0.69.89,73,2020-06-18T01:44:00Z,10.0.69.111
10.0.69.89,51,2020-06-18T01:44:10Z,10.0.69.135
10.0.69.89,42,2020-06-18T01:44:20Z,10.0.69.135
10.0.69.89,57,2020-06-18T01:44:30Z,10.0.69.82
10.0.69.89,33,2020-06-18T01:44:40Z,10.0.69.60
10.0.69.89,46,2020-06-18T01:44:50Z,10.0.69.111
10.0.69.89,39,2020-06-18T01:45:00Z,10.0.69.55
10.0.69.89,52,2020-06-18T01:45:10Z,10.0.69.60
10.0.69.89,57,2020-06-18T01:45:20Z,10.0.69.55
10.0.69.89,55,2020-06-18T01:45:30Z,10.0.69.135
10.0.69.89,66,2020-06-18T01:45:40Z,10.0.69.135
10.0.69.89,40,2020-06-18T01:45:50Z,10.0.69.135
10.0.69.89,55,2020-06-18T01:46:00Z,10.0.69.53
10.0.69.89,60,2020-06-18T01:46:10Z,10.0.69.60
10.0.69.89,51,2020-06-18T01:46:20Z,10.0.69.135
10.0.69.89,69,2020-06-18T01:46:30Z,10.0.69.55
10.0.69.89,23,2020-06-18T01:46:40Z,10.0.69.135
10.0.69.89,62,2020-06-18T01:46:50Z,10.0.69.82
10.0.69.89,41,2020-06-18T01:47:00Z,10.0.69.55
10.0.69.89,42,2020-06-18T01:47:10Z,10.0.69.60
10.0.69.89,57,2020-06-18T01:47:20Z,10.0.69.135
10.0.69.89,65,2020-06-18T01:47:30Z,10.0.69.111
10.0.69.89,24,2020-06-18T01:47:40Z,10.0.69.82
10.0.69.89,77,2020-06-18T01:47:50Z,10.0.69.82
10.0.69.89,25,2020-06-18T01:48:00Z,10.0.69.111
10.0.69.89,36,2020-06-18T01:48:10Z,10.0.69.82
10.0.69.89,36,2020-06-18T01:48:20Z,10.0.69.60
10.0.69.89,78,2020-06-18T01:48:30Z,10.0.69.111
10.0.69.89,41,2020-06-18T01:48:40Z,10.0.69.82
10.0.69.89,43,2020-06-18T01:48:50Z,10.0.69.60
10.0.69.89,47,2020-06-18T01:49:00Z,10.0.69.82
10.0.69.89,54,2020-06-18T01:49:10Z,10.0.69.82
10.0.69.89,42,2020-06-18T01:49:20Z,10.0.69.60
10.0.69.89,52,2020-06-18T01:49:30Z,10.0.69.135
10.0.69.89,69,2020-06-18T01:49:40Z,10.0.69.82
