src,bytes,timestamp,target
10.0.69.140,44,2020-06-18T01:34:50Z,10.0.69.18
10.0.69.140,40,2020-06-18T01:34:53Z,10.0.69.18
10.0.69.140,39,2020-06-18T01:34:56Z,10.0.69.90
10.0.69.140,74,2020-06-18T01:34:59Z,10.0.69.159
10.0.69.140,35,2020-06-18T01:35:02Z,10.0.69.18
10.0.69.140,54,2020-06-18T01:35:05Z,10.0.69.18
10.0.69.140,25,2020-06-18T01:35:08Z,10.0.69.18
10.0.69.140,38,2020-06-18T01:35:11Z,10.0.69.79
10.0.69.140,50,2020-06-18T01:35:14Z,10.0.69.159
10.0.69.140,33,2020-06-18T01:35:17Z,10.0.69.155
10.0.69.140,18,2020-06-18T01:35:20Z,10.0.69.155
10.0.69.140,22,2020-06-18T01:35:23Z,10.0.69.79
10.0.69.140,51,2020-06-18T01:35:26Z,10.0.69.90
10.0.69.140,13,2020-06-18T01:35:29Z,10.0.69.79
10.0.69.140,56,2020-06-18T01:35:32Z,10.0.69.159
10.0.69.140,23,2020-06-18T01:35:35Z,10.0.69.155
10.0.69.140,48,2020-06-18T01:35:38Z,10.0.69.79
10.0.69.140,10,2020-06-18T01:35:41Z,10.0.69.159
10.0.69.140,45,2020-06-18T01:35:44Z,10.0.69.18
10.0.69.140,49,2020-06-18T01:35:47Z,10.0.69.18
10.0.69.140,56,2020-06-18T01:35:50Z,10.0.69.90
10.0.69.140,7,2020-06-18T01:35:53Z,10.0.69.155
10.0.69.140,39,2020-06-18T01:35:56Z,10.0.69.159
10.0.69.140,53,2020-06-18T01:35:59Z,10.0.69.18
10.0.69.140,52,2020-06-18T01:36:02Z,10.0.69.90
10.0.69.140,45,2020-06-18T01:36:05Z,10.0.69.159
10.0.69.140,31,2020-06-18T01:36:08Z,10.0.69.159
10.0.69.140,54,2020-06-18T01:36:11Z,10.0.69.18
10.0.69.140,50,2020-06-18T01:36:14Z,10.0.69.79
10.0.69.140,35,2020-06-18T01:36:17Z,10.0.69.159
10.0.69.140,40,2020-06-18T01:36:20Z,10.0.69.155
10.0.69.140,52,2020-06-18T01:36:23Z,10.0.69.155
10.0.69.140,28,2020-06-18T01:36:26Z,10.0.69.155
10.0.69.140,29,2020-06-18T01:36:29Z,10.0.69.155
10.0.69.140,33,2020-06-18T01:36:32Z,10.0.69.159
10.0.69.140,6,2020-06-18T01:36:35Z,10.0.69.79
10.0.69.140,31,2020-06-18T01:36:38Z,10.0.69.155
10.0.69.140,39,2020-06-18T01:36:41Z,10.0.69.79
10.0.69.140,40,2020-06-18T01:36:44Z,10.0.69.90
10.0.69.140,42,2020-06-18T01:36:47Z,10.0.69.18
10.0.69.140,30,2020-06-18T01:36:50Z,10.0.69.90
10.0.69.140,60,2020-06-18T01:36:53Z,10.0.69.159
10.0.69.140,35,2020-06-18T01:36:56Z,10.0.69.159
10.0.69.140,27,2020-06-18T01:36:59Z,10.0.69.79
10.0.69.140,33,2020-06-18T01:37:02Z,10.0.69.155
10.0.69.140,38,2020-06-18T01:37:05Z,10.0.69.159
10.0.69.140,16,2020-06-18T01:37:08Z,10.0.69.79
10.0.69.140,37,2020-06-18T01:37:11Z,10.0.69.18
10.0.69.140,29,2020-06-18T01:37:14Z,10.0.69.79
10.0.69.140,11,2020-06-18T01:37:17Z,10.0.69.18
10.0.69.140,34,2020-06-18T01:37:20Z,10.0.69.90
10.0.69.140,30,2020-06-18T01:37:23Z,10.0.69.18
10.0.69.140,40,2020-06-18T01:37:26Z,10.0.69.79
10.0.69.140,12,2020-06-18T01:37:29Z,10.0.69.18
